text,ruby
漢字,かんじ
furigana.js,ふりがなジェーエス
対応,たいおう
CSV,シーエスブイ
特定,とくてい
内,ない
指定,してい
方法,ほうほう
文章,ぶんしょう
混じり,まじり
変換,へんかん
用意,ようい
足す,たす
簡単,かんたん
